Start Time,End Time,AIC,p value,Significantly Rejected,branching_ratio,Timespan,baseline,num_basis,nb_kernels,reformat,Date
2017-01-02 12:00:00,2017-01-02 12:30:00,405.6731253535,0.8808113048211963,False,0.1739386790228551,0 days 00:30:00,const,1,1,delete,2017-01-02
2017-01-02 12:20:00,2017-01-02 12:50:00,311.51679857698633,0.3048397672847417,False,0.5768627448134875,0 days 00:30:00,const,1,1,delete,2017-01-02
2017-01-02 12:40:00,2017-01-02 13:10:00,276.1034065199348,0.3748762171774101,False,0.2725678950428797,0 days 00:30:00,const,1,1,delete,2017-01-02
2017-01-02 13:00:00,2017-01-02 13:30:00,278.34716561378247,0.9996905619657764,False,4.4577674243032164e-07,0 days 00:30:00,const,1,1,delete,2017-01-02
2017-01-02 13:20:00,2017-01-02 13:50:00,207.36214692455303,0.3168650179796287,False,0.0292073250809813,0 days 00:30:00,const,1,1,delete,2017-01-02
2017-01-02 13:40:00,2017-01-02 14:10:00,148.71569541791936,0.071042640355061,False,0.0664153793906071,0 days 00:30:00,const,1,1,delete,2017-01-02
2017-01-02 14:00:00,2017-01-02 14:30:00,282.64919614647414,0.6938795123657067,False,0.1385564498500325,0 days 00:30:00,const,1,1,delete,2017-01-02
2017-01-02 14:20:00,2017-01-02 14:50:00,339.2022945088796,0.662829683849748,False,0.1284967021802779,0 days 00:30:00,const,1,1,delete,2017-01-02
2017-01-02 14:40:00,2017-01-02 15:10:00,277.11247319486904,0.8131626085829942,False,0.0598302398058827,0 days 00:30:00,const,1,1,delete,2017-01-02
2017-01-02 15:00:00,2017-01-02 15:30:00,403.6695751650089,0.4777877051745426,False,0.278414139232351,0 days 00:30:00,const,1,1,delete,2017-01-02
2017-01-02 15:20:00,2017-01-02 15:50:00,526.9942030519388,0.7869099200520361,False,0.2453812467518452,0 days 00:30:00,const,1,1,delete,2017-01-02
2017-01-02 15:40:00,2017-01-02 16:10:00,492.7432114997089,0.6303654299858392,False,0.155671328754237,0 days 00:30:00,const,1,1,delete,2017-01-02
2017-01-02 16:00:00,2017-01-02 16:30:00,559.2152026875149,0.588888868558181,False,0.1126880231574547,0 days 00:30:00,const,1,1,delete,2017-01-02
2017-01-02 16:20:00,2017-01-02 16:50:00,527.2114726079676,0.2902323257110922,False,0.4509625134708347,0 days 00:30:00,const,1,1,delete,2017-01-02
2017-01-02 16:40:00,2017-01-02 17:10:00,529.4883005057864,0.2400482465043804,False,0.2977917829504972,0 days 00:30:00,const,1,1,delete,2017-01-02
2017-01-02 09:00:00,2017-01-02 10:00:00,1112.4012217835318,0.0169495123611462,True,0.4987099346800936,0 days 01:00:00,const,1,1,delete,2017-01-02
2017-01-02 09:20:00,2017-01-02 10:20:00,1288.324401265299,0.2255059427484345,False,0.4329856575624679,0 days 01:00:00,const,1,1,delete,2017-01-02
2017-01-02 09:40:00,2017-01-02 10:40:00,1287.139391029344,0.0066157693891973,True,0.3972702162839162,0 days 01:00:00,const,1,1,delete,2017-01-02
2017-01-02 10:00:00,2017-01-02 11:00:00,954.1993024367562,0.0329399043685932,True,0.1643691299370892,0 days 01:00:00,const,1,1,delete,2017-01-02
2017-01-02 10:20:00,2017-01-02 11:20:00,819.7888376084661,0.8505002384839142,False,0.0336136278357576,0 days 01:00:00,const,1,1,delete,2017-01-02
2017-01-02 10:40:00,2017-01-02 11:40:00,728.47767133898,0.598443111923835,False,0.2306243194538164,0 days 01:00:00,const,1,1,delete,2017-01-02
2017-01-02 11:00:00,2017-01-02 12:00:00,744.3373004004627,0.4898330915085336,False,0.0507515626281001,0 days 01:00:00,const,1,1,delete,2017-01-02
2017-01-02 11:20:00,2017-01-02 12:20:00,725.0032165292743,0.2828854873094227,False,0.1755909233554499,0 days 01:00:00,const,1,1,delete,2017-01-02
2017-01-02 11:40:00,2017-01-02 12:40:00,777.0872918210773,0.8508091910263261,False,0.1765478762674849,0 days 01:00:00,const,1,1,delete,2017-01-02
2017-01-02 12:00:00,2017-01-02 13:00:00,724.5343132382518,0.2071166965289792,False,0.1742098661675088,0 days 01:00:00,const,1,1,delete,2017-01-02
2017-01-02 12:20:00,2017-01-02 13:20:00,628.458391596981,0.5092128848333015,False,0.346325940611507,0 days 01:00:00,const,1,1,delete,2017-01-02
2017-01-02 12:40:00,2017-01-02 13:40:00,542.2000763970967,0.4439977984429847,False,0.0001266288693841,0 days 01:00:00,const,1,1,delete,2017-01-02
2017-01-02 13:00:00,2017-01-02 14:00:00,427.3499576173948,0.0377439478793436,True,0.03860652995098,0 days 01:00:00,const,1,1,delete,2017-01-02
2017-01-02 13:20:00,2017-01-02 14:20:00,399.3072330384839,0.4159149348490581,False,0.0333097255087115,0 days 01:00:00,const,1,1,delete,2017-01-02
2017-01-02 13:40:00,2017-01-02 14:40:00,474.5099237612495,0.0026688458447859,True,0.1247999317029426,0 days 01:00:00,const,1,1,delete,2017-01-02
2017-01-02 14:00:00,2017-01-02 15:00:00,579.9065631177384,0.6913354734093158,False,0.0847174333207994,0 days 01:00:00,const,1,1,delete,2017-01-02
2017-01-02 14:20:00,2017-01-02 15:20:00,636.9571338518964,0.6474026131434305,False,0.1424479298214552,0 days 01:00:00,const,1,1,delete,2017-01-02
2017-01-02 14:40:00,2017-01-02 15:40:00,784.9502860411325,0.0091844911326814,True,0.2519057237356942,0 days 01:00:00,const,1,1,delete,2017-01-02
2017-01-02 15:00:00,2017-01-02 16:00:00,925.9960060185743,0.2908213205215398,False,0.2098725179017726,0 days 01:00:00,const,1,1,delete,2017-01-02
2017-01-02 15:20:00,2017-01-02 16:20:00,1081.9544589643506,0.9931736168884652,False,0.1687086946700275,0 days 01:00:00,const,1,1,delete,2017-01-02
2017-01-02 15:40:00,2017-01-02 16:40:00,987.281642704655,0.43920733025062,False,0.1416707469466195,0 days 01:00:00,const,1,1,delete,2017-01-02
2017-01-02 16:00:00,2017-01-02 17:00:00,1037.2759594632346,0.7874201352380313,False,0.3325138922054309,0 days 01:00:00,const,1,1,delete,2017-01-02
